소속 ,국회 ,직위 ,국회의원 ,성명 ,손혜원 ,,
본인 ,,"칠기 (주칠 장생무늬 사방탁자, 51*34.8*166.5Cm, 미상, 20세기 초) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (사군자무늬 사방탁자, 69.5*41*178Cm, 미상, 20세기 초) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (용공작무늬 반닫이, 112.5*62.5*98.5Cm, 미상, 20세기 초) ","40,000",- ,- ,"40,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 낙랑무늬 탁자, 60.5*36.9*14.9Cm, 미상, 1920~30년대) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 봉황문 탁자, 54.2*29.8*10.9Cm, 미상, 1930~40년대) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (봉황무늬 풍혈반, 45.5*30.4Cm, 미상, 1930~40년대) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (봉황무늬 통영반, 43.7*34.3*24.9Cm, 미상, 1930~40년대) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (주련경, 61.3*29*92.3Cm, 미상, 1930~40년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (금강산도 대궐반, 121.1*85.3*35.5Cm, 전성규, 1939년 전후) ","150,000",- ,- ,"150,000",변동없음 
,,,,,,,
본인 ,,"칠기 (석류당초무늬 통영반, 66.5*43.8*27Cm, 김봉룡, 1960년대) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (봉황원앙무늬 이층장, 45.7*105.5*141.Cm, 김성수, 1960년대) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 모란석류무늬 함, 20.4*8.3Cm, 김봉룡, 1970~80년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (봉황무궁화넝쿨무늬 호족반, 43*21.4Cm, 김봉룡, 1970~80년대) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (산수무늬 서안, 80*45.9*33.5Cm, 김봉룡, 1970~80년대) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠 화병, 12.3*35.0Cm, 강창원, 1970년대) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (매화무늬 함, 17.5*24.4*9.3Cm, 김봉룡, 1970년대) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (무궁화당초무늬 궁중호족반, 60.5*28Cm, 김봉룡, 1970년대) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (십장생무늬 장, 54.5*109.5*210Cm, 김태희, 1970년대) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 국화무늬 함, 36.0*25.5*22.0Cm, 심부길, 1970년대) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 장생무늬 경대, 26.3*35.3*26.8Cm, 이성운, 1970년대) ","9,000",- ,- ,"9,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 통영바다그림 삼층장, 106.5*48.4*190Cm, 이성운, 1975년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (귀갑무늬 문갑, 91.0*30.5*42.0Cm, 미상, 1960년대) ","40,000",- ,- ,"40,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 경대, 23*31.3*15Cm, 김태희, 1985년) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (쌍학매화무늬 벽걸이, 34*24Cm, 김태희, 1985년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 관모형 합, 지름31/19높이15/9.7Cm, 김휘범, 1986년) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (포도동자무늬 함, 49.8*31.4*20.7Cm, 김봉룡, 1988년) ","70,000",- ,- ,"70,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초무늬 장, 136*69*209Cm, 김봉룡, 1988년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초무늬 경대, 24*36.5*19.5Cm, 김봉룡, 1988년) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화당초무늬 함, 33.5*21.3*18.5Cm, 송방웅, 1989년) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (석류당초무늬 반, 41*5.2Cm, 김봉룡, 1980년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (주흑칠 화형 호족반, 45.5*45.4*26.0Cm, 김태희, 1980년대) ","14,000",- ,- ,"14,000",변동없음 
,,,,,,,
본인 ,,"칠기 (매화무늬 벽걸이, 32.5*23.3Cm, 김태희, 1980년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (상감 십장생무늬 함, 47.5*28.5*13.5Cm, 손대현, 1990년) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (무위당 삼경문 병풍, 270.0*107.0Cm, 이형만, 1993년) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠 끊음질 과가-동해, 40.0*19.0Cm, 정창호, 1998년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 국화당초무늬 삼층장, 97.0*45.8*171.2Cm, 송방웅, 2005년) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화무늬 사방탁자, 46.4*37.0*129.7Cm, 송방웅, 2005년) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화무늬 문갑, 85.0*37.0*38.3Cm, 송방웅, 2005년) ","24,000",- ,- ,"24,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화무늬 경대, 21.5*30.7*15.3Cm, 송방웅, 2005년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 국화무늬 상자, 36.2*36.2*9.7Cm, 이의식, 2007년) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (용봉무늬 호족반, 60.3*45.0*30.3Cm, 최상훈, 2009년) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 발우, 9.0*11.8Cm, 양유전, 2010년) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (노리개무늬 상자, 23.8*13.8*10.2Cm, 오왕택, 2010년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (끊음질 국화무늬 상자, 32.3*32.3*14.5Cm, 김성호, 2011년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (수선화무늬 풍혈반, 39.0*39.0*25.0Cm, 오왕택, 2013년) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (인물무늬 이층롱, 40.0*79.0*137.0Cm, 미상, 조선 후기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (국화난초무늬 경상, 70.0*41.5*30.5Cm, 미상, 조선 후기) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"칠기 (괴목 죽절 화형반, 40.0*28.0Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (해주반, 43.5*34.3*26.5Cm, 미상, 조선시대) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (죽절연화반, 39.0*29.0Cm, 미상, 조선시대) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
본인 ,,"칠기 (亞자문 예천소반, 31.0*24.5Cm, 미상, 조선시대) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (연화문 풍혈반, 37.0*30.0Cm, 미상, 조선시대) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (해주반, 45.0*37.0*30.0Cm, 미상, 조선시대) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영반, 48.0*38.0*29.0Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영반, 51.0*38.0*26.0Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영반, 40.5*36.0*26.0Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영반, 50.0*38.5*27.5Cm, 미상, 조선시대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (운학 귀갑무늬 함, 38.0*23.0*25.0Cm, 미상, 조선 19세기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (운학 귀갑무늬 함, 38.0*23.0*25.0Cm, 미상, 조선 19세기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (산수무늬 의걸이장, 103*55*187Cm, 미상, 20세기 초) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 삼층롱, 95.5*48.5*180.0Cm, 미상, 20세기 초) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 삼층롱, 95.5*48.5*180.0Cm, 미상, 20세기 초) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (십장생 대형 삼층롱, 118.5*57.0*220Cm, 미상, 20세기 초) ","80,000",- ,- ,"80,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영바다그림 탁자, 74.0*40.0*180.0Cm, 이성운, 1970년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영바다그림 문갑, 106.5*48.0*19.0Cm, 이성운, 1970년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (통영바다그림 문갑, 106.5*48.0*19.0Cm, 이성운, 1970년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (대나무무늬 서류상자, 26.5*34.5*10.0Cm, 송방웅, 1990년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (포도동자 보석함, 27.5*20.0*14.0Cm, 이형만, 1993년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 이층롱, 74.0*36.5*110.0Cm, 김선갑, 1995년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (나비 당초무늬 이층장, 75.0*38.0*115.0Cm, 손대현, 2009년) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (나비 당초무늬 이층장, 75.0*38.0*115.0Cm, 손대현, 2009년) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (모란당초 사군자무늬 관복함, 74.0*40.0*41.0Cm, 정명채, 1993년) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 상자, 40.3*30.2*11.3Cm, 정명채, 2009년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠 운학무늬 끊음질 항아리, 65.0*72.0Cm, 이성운, 1970년) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (기하학무늬 끊음질 구절판, 36.5*36.5*7.8Cm, 이상호, 2006년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠 파도무늬 끊음질 화병, 37.0*42.0Cm, 김성호, 2014년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠 만자무늬 끊음질 화병, 37.0*42.0Cm, 김성호, 2014년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초 문갑, 91.0*33.5*39.0Cm, 김봉룡, 1988년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초 화장대, 85.3*34.0*169.0Cm, 김봉룡, 1988년) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (운학무늬 벽걸이, 44.8*58.0*1.8Cm, 김봉룡, 1970년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 나전 빙열무늬 문갑, 79.3*26.0*32.5Cm, 최종관, 2004년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 나전 대나무무늬 반닫이, 35.3*32.3*44.5Cm, 최종관, 1990년대) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (채화칠 화조무늬 상자, 35.0*18.5*13.7Cm, 이의식, 2009년) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (동행, 97.3*145.0Cm, 김성수, 2011년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (동행2, 73.0*66.0Cm, 김성수, 2011년) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (기모노 장, 미상, 일제강점기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (낙랑문 도태채화나전칠병, 7.6*27.9Cm, 미상, 일제강점기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (한지옻칠액자, 94.0*80.0Cm, 정영환, 2000년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (이층농, 96.0*41.0*137.0Cm, 정돈산, 1980년대) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"칠기 (경대, 26.0*42.0*19.0Cm, 정돈산, 1980년대) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (대형구족반, 48.0*33.0Cm, 미상, 조선시대) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (대형구족반, 48.0*33.0Cm, 미상, 조선시대) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (원반1, 39.0*24.5Cm, 미상, 조선시대) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (원반2, 38.0*21.0Cm, 미상, 조선시대) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (화각 인물무늬 함, 38.0*21.0*14.0Cm, 미상, 20세기 초) ","7,000",- ,- ,"7,000",변동없음 
,,,,,,,
본인 ,,"칠기 (대궐반, 104.5*36.0Cm, 김봉룡, 1980년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (건칠푼주, 43.7*22.5Cm, 이의식, 2000년대) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (자수칠보화관, 18.0*12.0*16.0Cm, 한상수, 미상) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (쌍용무늬 관복함, 72.2*44.7*14.2Cm, 미상, 조선 17~18세기) ","150,000",- ,- ,"150,000",변동없음 
,,,,,,,
본인 ,,"칠기 (당초무늬 합, 43.0*20.0*16.0Cm, 미상, 조선 18세기) ","70,000",- ,- ,"70,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 경대, 21.0*27.7*15.0Cm, 미상, 조선 19~20세기) ","8,000",- ,- ,"8,000",변동없음 
,,,,,,,
본인 ,,"칠기 (귀갑무늬 반짇고리, 37.5*37.0*11.0Cm, 미상, 조선 19~20세기 초) ","15,000",- ,- ,"15,000",변동없음 
,,,,,,,
본인 ,,"칠기 (쌍학천도무늬 경대, 22.7*33.0*4.2Cm, 미상, 조선 19세기) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 통영반, 33.8*25.4*21.3Cm, 미상, 조선 19세기) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생무늬 연상, 38.9*26.0*24.2Cm, 미상, 조선 19세기) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (천도운학무늬 통영소반, 35.0*26.0*21.0Cm, 미상, 조선 19세기) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
본인 ,,"칠기 (주칠 길상무늬 함, 69.7*39.6*21.0Cm, 미상, 조선 19세기) ","20,000",- ,- ,"20,000",변동없음 
,,,,,,,
본인 ,,"칠기 (화형 일주반, 30.4*26.5Cm, 미상, 조선 19세기) ","5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생 산수무늬 함, 28.5*28.5*18.7Cm, 미상, 조선 19세기) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초무늬 장, 136.0*69.0*209Cm, 김봉룡, 1988년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,,"칠기 (장생당초무늬 삼층롱, 136.0*69.0*209.Cm, 김봉룡, 1988년) ","50,000",- ,- ,"50,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"269,900",0,0,"269,900",,,
,,,,,,,
본인 ,골프 ,태광컨트리클럽 ,"68,900",- ,- ,"68,900",변동없음 
,,,,,,,
배우자 ,콘도미니엄 ,해비치콘도미니엄 ,"61,000",- ,- ,"61,000",변동없음 
,,,,,,,
배우자 ,골프 ,버치힐골프클럽 ,"140,000",- ,- ,"140,000",변동없음 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"재단법인 크로스포인트문화재단, 출연재산: 684,000천원(654,000천원 증가), 보유직위: 없음 ",- ,- ,- ,- ,기부금으로 증감 
,,,,,,,
총계 ,"5,348,480","-519,349","173,854","4,655,277","증 감 액 : -693,203천원 (가액변동: 185,305천원) ",,
,,,,,,,
