소속 ,국회 ,직위 ,국회의원 ,성명 ,송언석 ,,
장녀 ,상장주식 ,"셀트리온 20주, 오뚜기 1주, LG생활건강 1주, 위메이드 5주, 신세계 5주, 대웅제약 15주, 한올바이오파마 30주, 신세계 I&C 10주, 셀트리온제약 5주, 하이비젼시스템 15주 ","16,502",156,"3,482","13,176",
,,,,,,,
차녀 ,상장주식 ,"NAVER 20주(16주 증가), 하나금융지주 50주 ","5,088",0,836,"4,252",
,,,,,,,
▶ 채무(소계) ,"1,400,000","50,000",0,"1,450,000",,,
,,,,,,,
본인 ,건물임대채무 ,경기도 과천시 부림동 주공아파트 임대보증금 ,"400,000",0,0,"400,000",
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 대치2동 미도아파트 임대보증금 증가 ,"500,000","25,000",0,"525,000",전세보증금 증액 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 대치2동 미도아파트 임대보증금 증가 ,"500,000","25,000",0,"525,000",전세보증금 증액 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,322,322","1,642,038","1,019,638","4,944,722","증 감 액 : 622,400천원 (가액변동: 266,250천원) ",,
,,,,,,,
