소속 ,국회 ,직위 ,국회의원 ,성명 ,박덕흠 ,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 26번지 2,159.00m² ","9,629",302,0,"9,931",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 22번지 2,013.00m² ","7,729",121,0,"7,850",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 11번지 1,468.00m² ","5,637","1,835",0,"7,472",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 산 19번지 43,636.00m² ","78,544","4,800",0,"83,344",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 30번지 2,231.00m² ","7,875",156,0,"8,031",가액변동 
,,,,,,,
배우자 ,임야 ,강원도 홍천군 북방면 구만리 14번지 179.00m² ,631,13,0,644,가액변동 
,,,,,,,
배우자 ,임야 ,강원도 홍천군 북방면 원소리 537번지 383.00m² ,"1,210",76,0,"1,286",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 원소리 산 55번지 49,057.00m² ","72,113","9,812",0,"81,925",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 산 106번지 91,735.00m² ","119,255","11,008",0,"130,263",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 산 98-2번지 17,569.00m² ","55,166","2,108",0,"57,274",가액변동 
,,,,,,,
배우자 ,임야 ,강원도 홍천군 북방면 구만리 9번지 995.00m² ,"3,512",368,0,"3,880",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 8번지 8,621.00m² ","29,828",345,0,"30,173",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 홍천군 북방면 구만리 1번지 5,395.00m² ","19,422",539,0,"19,961",가액변동 
,,,,,,,
배우자 ,과수원 ,"제주특별자치도 서귀포시 서홍동 1277번지 3,359.10m² ","216,661","28,553",0,"245,214",가액변동 
,,,,,,,
배우자 ,하천 ,강원도 홍천군 북방면 구만리 25번지 387.00m² ,483,20,0,503,가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 297번지 2,307.00m² ","7,705",392,0,"8,097",가액변동 
,,,,,,,
배우자 ,대지 ,강원도 홍천군 북방면 구만리 179번지 426.00m² ,"16,528",43,0,"16,571",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 180번지 5,746.00m² ","117,218","10,343",0,"127,561",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 180-1번지 1,035.00m² ","21,114","1,863",0,"22,977",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 180-2번지 1,196.00m² ","24,398","2,153",0,"26,551",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 44번지 3,957.00m² (3,957.00m² 증가) ",- ,"15,432",0,"15,432",상속 
,,,,"-15,432",,,
,,,,,,,
▶ 건물(소계) ,"6,424,941","1,156,642","349,839","7,231,744",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물 203.12m² 중 101.56m² ,"1,696,000","180,000",0,"1,876,000",가액변동 
,,,,,,,
본인 ,아파트 ,충청북도 옥천군 옥천읍 문정리 하늘빛 아파트 건물 84.99m² ,"156,000","1,000",0,"157,000",가액변동 
,,,,,,,
본인 ,창고 ,경기도 여주군 점동면 처리 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,행정구역변경 등 
,,,,,,,
본인 ,창고 ,경기도 여주시 점동면 처리 대지 995.00m² 건물 542.40m² ,"390,566","3,968",0,"394,534",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,"충청북도 옥천군 옥천읍 금구리 2,3층 대지 379.36m² 건물 487.43m² 중 305.48m² ","50,000",0,0,"50,000",변동없음 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,충청북도 보은군 보은읍 교사리 2층 건물 153.40m² ,"130,000",0,0,"130,000",변동없음 
,,,,,,,
본인 ,상가 전세(임차)권 ,충청북도 괴산군 괴산읍 동부리 3층 대지 452.80m² 건물 153.00m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
본인 ,상가 ,서울특별시 영등포구 당산동5가 2001아울렛당산점 대지 8.50m² 건물 36.35m² ,"76,760","2,889",0,"79,649",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 삼성동 아이파크 삼성동 웨스트윙 건물 203.12m² 중 101.56m² ,"1,696,000","180,000",0,"1,876,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 잠실동 아시아선수촌아파트 건물 178.32m² 중 133.79m² ,"1,248,000","360,000",0,"1,608,000",가액변동 
,,,,,,,
배우자 ,기타 ,경기도 가평군 청평면 고성리 산 건물 68.50m² ,"18,412",0,72,"18,340",가액변동 
,,,,,,,
배우자 ,창고 ,제주특별자치도 서귀포시 서홍동 1동 101호 대지 22.90m² 건물 22.90m² ,"1,706",194,0,"1,900",가액변동 
,,,,,,,
배우자 ,단독주택 ,"경기도 가평군 청평면 고성리 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 236.31m² 감소, 건물 지분면적 145.40m² 감소) ","156,667",0,"156,667",0,건축물 개요 수정 
,,,,,,,
배우자 ,단독주택 ,"경기도 가평군 청평면 고성리 대지 0.00m² 중 0.00m²건물 0.00m² (대지 지분면적 93.68m² 감소, 건물 84.59m² 감소) ","66,050",0,"66,050",0,건축물 개요 수정 
,,,,,,,
배우자 ,단독주택 ,"경기도 가평군 청평면 고성리 대지 660.00m² 중 330.00m² 건물 375.40m² 중 230.00m² (대지 지분면적 330.00m² 증가, 건물 지분면적 230.00m² 증가) ",- ,"175,250",0,"175,250","건축물 개요 수정, 가액변동 "
,,,,"-175,250",,,
,,,,,,,
차남 ,상가 ,서울특별시 송파구 잠실동 아시아선수촌상가 대지 14.24m² 건물 10.20m² ,"145,730","4,391",0,"150,121",가액변동 
,,,,,,,
차남 ,아파트 ,서울특별시 송파구 잠실동 아시아선수촌아파트 건물 178.32m² 중 44.58m² ,"416,000","120,000",0,"536,000",가액변동 
,,,,,,,
장녀 ,단독주택 ,"경기도 가평군 청평면 고성리 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 330.00m² 감소, 건물 지분면적 145.40m² 감소) ","127,050",0,"127,050",0,건축물 개요 수정 
,,,,,,,
장녀 ,단독주택 ,"경기도 가평군 청평면 고성리 대지 660.00m² 중 330.00m² 건물 375.40m² 중 145.40m² (대지 지분면적 330.00m² 증가, 건물 지분면적 145.40m² 증가) ",- ,"128,950",0,"128,950","건축물 개요 수정, 가액변동 "
,,,,"-128,950",,,
,,,,,,,
▶ 현금(소계) ,"290,000","130,000",0,"420,000",,,
,,,,,,,
본인 ,,현금 증가 ,"290,000","130,000",0,"420,000",예금인출 
,,,,,,,
▶ 예금(소계) ,"7,902,327","2,609,607","3,335,850","7,176,084",,,
,,,,,,,
본인 ,,"우리은행 189,073(73,389 감소), 메리츠화재해상보험 167,485, 우체국 26,964(225 감소), 신용협동조합중앙회 31,953(55 증가), 새마을금고 618(14 증가), 삼성증권 1,981(12 증가), 한화손해보험 0(118,000 감소), 아이비케이투자증권(주) 2, 농협은행 64,212(25,789 증가), 씨티은행 117,516, AIA생명보험 225,007, (주)KEB하나은행 2,824,645(414,211 감소), 동양생명보험 1,074, 농협중앙회 36,959(24,973 증가) ","4,242,471","2,522,598","3,077,580","3,687,489",세금납부 등 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 746,432(51,685 감소), 메리츠종금증권 19(19 증가), 신한은행 443, (주)KB손해보험 4,953(3,033 증가), DB금융투자 46(1 증가), 우리은행 368,928(93,115 감소), 한화생명보험 15,000 ","1,277,568","63,477","205,224","1,135,821",
,,,,,,,
차남 ,,"교보생명보험 120,000, 푸르덴셜생명보험 33,811, 오렌지라이프생명보험 20,656(13,046 증가), 삼성증권 1,019(6 증가), 아이비케이투자증권(주) 3, 우체국 168, 우리은행 827,099(26,515 감소), 신한은행 3,167(557 증가) ","1,018,829","13,611","26,517","1,005,923",
,,,,,,,
장녀 ,,"삼성증권 6(1 증가), (주)KEB하나은행 10(4,466 감소), 푸르덴셜생명보험 183,136(9,900 증가), 아이비케이투자증권(주) 3, 씨티은행 19(19 증가), 우체국 70, 우리은행 1,162,772(21,372 감소), 신한은행 835(690 감소) ","1,363,459","9,921","26,529","1,346,851",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"15,607","36,002",0,"51,609",,,
,,,,,,,
본인 ,,"농협중앙회 51,609(36,002 증가) ","15,607","36,002",0,"51,609",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,400,0,400,0,,,
,,,,,,,
본인 ,국채 ,국민주택채권1종 0주(400주 감소) ,400,0,400,0,계약해지 및 환급 
,,,,,,,
▶ 채권(소계) ,"15,285,410","1,500,000","1,520,500","15,264,910",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"13,359,110","1,500,000","1,510,500","13,348,610",일부환수 
,,,,,,,
배우자 ,,사인간채권 감소 ,"1,636,300",0,"10,000","1,626,300",일부환수 
,,,,,,,
차남 ,,사인간채권 ,"290,000",0,0,"290,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"972,820",0,"72,820","900,000",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 0(64,564 감소) ","64,564",0,"64,564",0,예금으로 상환 
,,,,,,,
본인 ,건물임대채무 ,경기도 여주군 점동면 처리 임대보증금 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 영등포구 당산동5가 임대보증금 감소 ,"8,256",0,"8,256",0,계약해지 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 송파구 잠실동 아시아선수촌아파트 임대보증금 ,"800,000",0,0,"800,000",변동없음 
,,,,,,,
▶금및백금(소계) ,"1,692",43,0,"1,735",,,
,,,,,,,
본인 ,,"행운의 열쇠, 24K, 38g 증가 ","1,692",43,0,"1,735",가액변동 
,,,,,,,
▶ 회원권(소계) ,"580,855",0,"24,500","556,355",,,
,,,,,,,
본인 ,콘도미니엄 ,코레스코콘도미니엄 ,855,- ,- ,855,변동없음 
,,,,,,,
배우자 ,골프 ,가평베네스트 CC 감소 ,"580,000",0,"24,500","555,500",가액변동 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
배우자 ,출연 ,"육영아카데미, 출연재산: 80,000천원, 보유직위: 무 ",- ,- ,- ,- ,변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"51,521,904","5,951,041","5,158,269","52,314,676","증 감 액 : 792,772천원 (가액변동: 1,331,228천원) ",,
,,,,,,,
